start_id,type,end_id
M_汉语言文学_ancient-literature,MODULE_PREREQUISITE_FOR,M_汉语言文学_literary-theory
M_汉语言文学_language-basics,MODULE_PREREQUISITE_FOR,M_汉语言文学_ancient-literature
M_汉语言文学_language-basics,MODULE_PREREQUISITE_FOR,M_汉语言文学_linguistics
M_汉语言文学_language-basics,MODULE_PREREQUISITE_FOR,M_汉语言文学_modern-literature
M_汉语言文学_linguistics,MODULE_PREREQUISITE_FOR,M_汉语言文学_writing
M_汉语言文学_literary-theory,MODULE_PREREQUISITE_FOR,M_汉语言文学_writing
M_汉语言文学_modern-literature,MODULE_PREREQUISITE_FOR,M_汉语言文学_literary-theory
M_法学_civil,MODULE_PREREQUISITE_FOR,M_法学_commercial
M_法学_civil,MODULE_PREREQUISITE_FOR,M_法学_procedure
M_法学_commercial,MODULE_PREREQUISITE_FOR,M_法学_international
M_法学_criminal,MODULE_PREREQUISITE_FOR,M_法学_international
M_法学_criminal,MODULE_PREREQUISITE_FOR,M_法学_procedure
M_法学_foundation,MODULE_PREREQUISITE_FOR,M_法学_civil
M_法学_foundation,MODULE_PREREQUISITE_FOR,M_法学_criminal
M_法学_international,MODULE_PREREQUISITE_FOR,M_法学_practice
M_法学_procedure,MODULE_PREREQUISITE_FOR,M_法学_practice
M_物理学_classical-mechanics,MODULE_PREREQUISITE_FOR,M_物理学_modern-physics
M_物理学_em-optics-thermal,MODULE_PREREQUISITE_FOR,M_物理学_laboratory
M_物理学_em-optics-thermal,MODULE_PREREQUISITE_FOR,M_物理学_modern-physics
M_物理学_math,MODULE_PREREQUISITE_FOR,M_物理学_classical-mechanics
M_物理学_math,MODULE_PREREQUISITE_FOR,M_物理学_em-optics-thermal
M_物理学_modern-physics,MODULE_PREREQUISITE_FOR,M_物理学_specialty
M_社会学_economic-political,MODULE_PREREQUISITE_FOR,M_社会学_topics
M_社会学_family-gender,MODULE_PREREQUISITE_FOR,M_社会学_topics
M_社会学_methods,MODULE_PREREQUISITE_FOR,M_社会学_economic-political
M_社会学_methods,MODULE_PREREQUISITE_FOR,M_社会学_family-gender
M_社会学_methods,MODULE_PREREQUISITE_FOR,M_社会学_urban-rural
M_社会学_theory,MODULE_PREREQUISITE_FOR,M_社会学_methods
M_社会学_urban-rural,MODULE_PREREQUISITE_FOR,M_社会学_topics
M_经济学_math,MODULE_PREREQUISITE_FOR,M_经济学_metrics
M_经济学_math,MODULE_PREREQUISITE_FOR,M_经济学_principles
M_经济学_metrics,MODULE_PREREQUISITE_FOR,M_经济学_applied
M_经济学_principles,MODULE_PREREQUISITE_FOR,M_经济学_metrics
M_统计学_math,MODULE_PREREQUISITE_FOR,M_统计学_probability
M_统计学_mathematical-statistics,MODULE_PREREQUISITE_FOR,M_统计学_statistical-computing
M_统计学_probability,MODULE_PREREQUISITE_FOR,M_统计学_mathematical-statistics
M_统计学_statistical-computing,MODULE_PREREQUISITE_FOR,M_统计学_applied-statistics
M_英语_area-studies,MODULE_PREREQUISITE_FOR,M_英语_practice
M_英语_language-skills,MODULE_PREREQUISITE_FOR,M_英语_linguistics
M_英语_language-skills,MODULE_PREREQUISITE_FOR,M_英语_literature
M_英语_language-skills,MODULE_PREREQUISITE_FOR,M_英语_translation
M_英语_linguistics,MODULE_PREREQUISITE_FOR,M_英语_area-studies
M_英语_literature,MODULE_PREREQUISITE_FOR,M_英语_area-studies
M_英语_translation,MODULE_PREREQUISITE_FOR,M_英语_practice
M_行政管理_egovernment,MODULE_PREREQUISITE_FOR,M_行政管理_methods
M_行政管理_foundation,MODULE_PREREQUISITE_FOR,M_行政管理_policy-law
M_行政管理_local-governance,MODULE_PREREQUISITE_FOR,M_行政管理_egovernment
M_行政管理_policy-law,MODULE_PREREQUISITE_FOR,M_行政管理_local-governance
M_计算机科学与技术_ai-frontier,MODULE_PREREQUISITE_FOR,M_计算机科学与技术_practice
M_计算机科学与技术_computer-systems,MODULE_PREREQUISITE_FOR,M_计算机科学与技术_database
M_计算机科学与技术_computer-systems,MODULE_PREREQUISITE_FOR,M_计算机科学与技术_os-network
M_计算机科学与技术_data-structures,MODULE_PREREQUISITE_FOR,M_计算机科学与技术_ai-frontier
M_计算机科学与技术_data-structures,MODULE_PREREQUISITE_FOR,M_计算机科学与技术_computer-systems
M_计算机科学与技术_database,MODULE_PREREQUISITE_FOR,M_计算机科学与技术_software-engineering
M_计算机科学与技术_math,MODULE_PREREQUISITE_FOR,M_计算机科学与技术_programming
M_计算机科学与技术_os-network,MODULE_PREREQUISITE_FOR,M_计算机科学与技术_software-engineering
M_计算机科学与技术_programming,MODULE_PREREQUISITE_FOR,M_计算机科学与技术_data-structures
M_计算机科学与技术_software-engineering,MODULE_PREREQUISITE_FOR,M_计算机科学与技术_practice
M_金融学_accounting,MODULE_PREREQUISITE_FOR,M_金融学_corporate-finance
M_金融学_corporate-finance,MODULE_PREREQUISITE_FOR,M_金融学_investments
M_金融学_engineering,MODULE_PREREQUISITE_FOR,M_金融学_practice
M_金融学_investments,MODULE_PREREQUISITE_FOR,M_金融学_markets
M_金融学_markets,MODULE_PREREQUISITE_FOR,M_金融学_engineering
M_金融学_math,MODULE_PREREQUISITE_FOR,M_金融学_accounting
M_金融学_math,MODULE_PREREQUISITE_FOR,M_金融学_engineering
M_金融学_math,MODULE_PREREQUISITE_FOR,M_金融学_investments
