start_id,type,end_id
C_COMPUTER_SCIENCE_AND_PROGRAMMING_IN_JAVA,BELONGS_TO_MODULE,M_计算机科学与技术_ai-frontier
C_COMPUTER_SCIENCE_MATHEMATICS,BELONGS_TO_MODULE,M_计算机科学与技术_ai-frontier
C_COMPUTER_SCIENCE_PROGRAMMING_IN_PYTHON,BELONGS_TO_MODULE,M_计算机科学与技术_ai-frontier
C_COMPUTING_SYSTEMS,BELONGS_TO_MODULE,M_计算机科学与技术_ai-frontier
C_CONFLICT_AND_PEACEBUILDING,BELONGS_TO_MODULE,M_国际政治_security
C_CONFLICT_COOPERATION_AND_CHANGE_INTRODUCTION_TO_,BELONGS_TO_MODULE,M_国际政治_ir-theory
C_CONSTITUTIONAL_LAW,BELONGS_TO_MODULE,M_法学_foundation
C_CONSTITUTIONAL_LAW,BELONGS_TO_MODULE,M_行政管理_policy-law
C_CONTEMPORARY_ISSUES_IN_INTERNATIONAL_RELATIONS,BELONGS_TO_MODULE,M_国际政治_ir-theory
C_CONTRACT_LAW,BELONGS_TO_MODULE,M_法学_civil
C_CORPORATE_FINANCE,BELONGS_TO_MODULE,M_工商管理_foundation
C_CORPORATE_FINANCE,BELONGS_TO_MODULE,M_经济学_applied
C_CORPORATE_FINANCE,BELONGS_TO_MODULE,M_金融学_corporate-finance
C_CRIMINAL_LAW,BELONGS_TO_MODULE,M_法学_criminal
C_CRITICISM_AND_THEORY,BELONGS_TO_MODULE,M_英语_area-studies
C_C_2,BELONGS_TO_MODULE,M_金融学_markets
C_C_3,BELONGS_TO_MODULE,M_国际政治_regions
C_C_3,BELONGS_TO_MODULE,M_社会学_topics
C_D,BELONGS_TO_MODULE,M_哲学_topics
C_D,BELONGS_TO_MODULE,M_国际政治_regions
C_D,BELONGS_TO_MODULE,M_新闻学_media-studies
C_D,BELONGS_TO_MODULE,M_社会学_topics
C_DATA_ANALYSIS_FOR_SOCIAL_SCIENTISTS,BELONGS_TO_MODULE,M_经济学_applied
C_DATA_IN_SOCIETY_RESEARCHING_SOCIAL_LIFE,BELONGS_TO_MODULE,M_社会学_topics
C_DATA_STRUCTURE,BELONGS_TO_MODULE,M_数学与应用数学_topics
C_DATA_STRUCTURE,BELONGS_TO_MODULE,M_计算机科学与技术_data-structures
C_DEMOCRACY_AND_AUTHORITARIANISM,BELONGS_TO_MODULE,M_国际政治_regions
C_DEVELOPMENTAL_PSYCHOLOGY,BELONGS_TO_MODULE,M_应用心理学_domains
C_DEVELOPMENT_ECONOMICS,BELONGS_TO_MODULE,M_经济学_applied
C_DIFFERENTIAL_EQUATIONS,BELONGS_TO_MODULE,M_数学与应用数学_analysis
C_DIFFERENTIAL_EQUATIONS,BELONGS_TO_MODULE,M_统计学_applied-statistics
C_DIFFERENTIAL_EQUATIONS,BELONGS_TO_MODULE,M_金融学_markets
C_E838CD7C73,BELONGS_TO_MODULE,M_档案学_preservation
C_ECONOMETRICS,BELONGS_TO_MODULE,M_工商管理_foundation
C_ECONOMETRICS,BELONGS_TO_MODULE,M_经济学_metrics
C_ECONOMETRICS,BELONGS_TO_MODULE,M_行政管理_foundation
C_ECONOMETRICS,BELONGS_TO_MODULE,M_金融学_markets
C_ECONOMICS_PRINCIPLES,BELONGS_TO_MODULE,M_国际政治_regions
C_ECONOMICS_PRINCIPLES,BELONGS_TO_MODULE,M_社会学_topics
C_ECONOMICS_PRINCIPLES,BELONGS_TO_MODULE,M_经济学_applied
C_ECONOMICS_PRINCIPLES,BELONGS_TO_MODULE,M_行政管理_foundation
C_ECONOMICS_PRINCIPLES,BELONGS_TO_MODULE,M_金融学_markets
C_ELECTROMAGNETISM,BELONGS_TO_MODULE,M_化学_math-physics
C_ELECTROMAGNETISM,BELONGS_TO_MODULE,M_物理学_em-optics-thermal
C_ELECTROMAGNETISM,BELONGS_TO_MODULE,M_计算机科学与技术_ai-frontier
C_ELEMENTARY_STATISTICAL_THEORY,BELONGS_TO_MODULE,M_统计学_applied-statistics
C_EMPLOYMENT_LAW,BELONGS_TO_MODULE,M_法学_commercial
C_EPISTEMOLOGY,BELONGS_TO_MODULE,M_哲学_topics
C_EUROPEAN_UNION_LAW,BELONGS_TO_MODULE,M_法学_commercial
C_EXTREMISM_AND_POPULISM,BELONGS_TO_MODULE,M_国际政治_regions
C_F,BELONGS_TO_MODULE,M_化学_advanced-chemistry
C_F9B6A5FE41,BELONGS_TO_MODULE,M_人力资源管理_hr-core
C_FINANCE,BELONGS_TO_MODULE,M_金融学_markets
C_FINANCE_FOR_BSC_IN_FINANCE,BELONGS_TO_MODULE,M_金融学_markets
C_FIRMS_MANAGEMENT_AND_COMPETITIVE_ADVANTAGE,BELONGS_TO_MODULE,M_工商管理_core-management
C_FOUNDATIONS_OF_BEHAVIOURAL_SCIENCE,BELONGS_TO_MODULE,M_应用心理学_domains
C_FOUNDATIONS_OF_SOCIAL_POLICY_RESEARCH,BELONGS_TO_MODULE,M_行政管理_policy-law
C_FROM_TEA_TO_OPIUM_CHINA_AND_THE_GLOBAL_MARKET_IN,BELONGS_TO_MODULE,M_历史学_seminars
C_FUNDAMENTALS_OF_COMPUTER_SYSTEMS,BELONGS_TO_MODULE,M_计算机科学与技术_computer-systems
C_GENDER_AND_SOCIETY,BELONGS_TO_MODULE,M_社会学_family-gender
C_GENERAL_PSYCHOLOGY,BELONGS_TO_MODULE,M_应用心理学_foundation
C_HISTORICAL_AND_GLOBAL_PERSPECTIVES_ON_PHILOSOPHY,BELONGS_TO_MODULE,M_哲学_topics
C_HISTORICAL_APPROACHES_TO_THE_MODERN_WORLD,BELONGS_TO_MODULE,M_历史学_seminars
C_HISTORY_OF_FOREIGN_RELATIONS_OF_THE_PEOPLE_S_REP,BELONGS_TO_MODULE,M_历史学_seminars
C_HRM,BELONGS_TO_MODULE,M_人力资源管理_hr-core
C_HRM,BELONGS_TO_MODULE,M_工商管理_core-management
C_I,BELONGS_TO_MODULE,M_人工智能_practice
C_II,BELONGS_TO_MODULE,M_人工智能_dl
C_III,BELONGS_TO_MODULE,M_数学与应用数学_analysis
C_III,BELONGS_TO_MODULE,M_统计学_math
C_II_2,BELONGS_TO_MODULE,M_数学与应用数学_algebra-geometry
C_II_2,BELONGS_TO_MODULE,M_统计学_applied-statistics
C_II_3,BELONGS_TO_MODULE,M_数学与应用数学_analysis
C_II_3,BELONGS_TO_MODULE,M_统计学_math
C_INFERENCE,BELONGS_TO_MODULE,M_人工智能_dl
C_INORGANIC_CHEMISTRY,BELONGS_TO_MODULE,M_化学_core-chemistry
C_INTELLIGENT_DATA_SYSTEMS,BELONGS_TO_MODULE,M_计算机科学与技术_ai-frontier
C_INTERMEDIATE_STATISTICS_AND_RESEARCH_METHODS_FOR,BELONGS_TO_MODULE,M_应用心理学_domains
C_INTERNATIONAL_CONFLICT_AND_COOPERATION,BELONGS_TO_MODULE,M_国际政治_security
C_INTERNATIONAL_POLITICAL_THEORY,BELONGS_TO_MODULE,M_国际政治_ir-theory
C_INTERNATIONAL_POLITICS_SINCE_1914_PEACE_AND_WAR,BELONGS_TO_MODULE,M_历史学_seminars
